e,c,x,y,Chi,SN,Sharp,Round,MA,Crowd,T,Counts,Bkgrd,inst_vega_mag1,m_V,mag1_err,Chi.1,SN.1,Sharp.1,Round.1,Crowd.1,FWHM,Ellip,PSFa,PSFb,PSFc,Eflag,Counts.1,Bkgrd.1,inst_vega_mag2,m_I,mag2_err,Chi.2,SN.2,Sharp.2,Round.2,Crowd.2,FWHM.1,Ellip.1,PSFa.1,PSFb.1,PSFc.1,Eflag.1
0.0,1.0,3761.37,1424.96,1.27,20.2,-0.038,0.451,5.0,0.833,1.0,4098.5,2954.62,28.193,28.633,0.092,1.29,11.8,-0.123,0.444,1.065,1.0,0.0,1.0,1.0,0.0,0.0,5112.5,1556.75,26.753,26.743,0.07,1.27,15.6,0.043,0.466,0.798,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,3962.05,1777.98,1.15,162.8,-0.005,0.05,90.0,0.071,1.0,56731.0,2945.61,25.348,25.745,0.01,1.19,108.1,-0.008,0.029,0.068,1.0,0.0,1.0,1.0,0.0,0.0,60706.0,1556.71,24.073,24.063,0.009,1.1,121.6,-0.002,0.071,0.074,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,4020.04,2960.67,1.05,160.0,-0.009,0.02,5.0,0.047,1.0,55653.2,2884.1,25.381,25.777,0.01,1.14,107.0,-0.013,0.021,0.034,1.0,0.0,1.0,1.0,0.0,0.0,59218.5,1516.11,24.11,24.1,0.009,0.93,118.8,-0.004,0.019,0.063,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,2745.73,3004.09,1.27,148.6,0.005,0.029,70.0,0.067,1.0,83188.6,2822.05,24.945,24.924,0.008,1.29,135.1,0.011,0.038,0.068,1.0,0.0,1.0,1.0,0.0,2.0,24848.1,1503.39,25.052,25.046,0.018,1.23,61.9,-0.006,0.011,0.066,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,2726.21,995.47,1.33,147.3,-0.028,0.037,130.0,0.241,1.0,84902.6,3004.73,24.912,24.853,0.008,1.43,138.3,-0.032,0.062,0.226,1.0,0.0,1.0,1.0,0.0,0.0,17868.4,1607.4,25.4,25.395,0.022,1.12,50.3,-0.021,-0.014,0.276,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3983.27,2538.42,1.34,145.3,0.009,0.016,170.0,0.053,1.0,28972.6,2821.9,26.087,26.66,0.019,1.17,57.7,0.026,0.025,0.06,1.0,0.0,1.0,1.0,0.0,0.0,67110.1,1506.61,23.974,23.962,0.008,1.43,131.7,-0.001,0.013,0.043,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,4142.16,3015.82,1.11,152.2,0.009,0.089,105.0,0.116,1.0,83818.6,2797.13,24.936,24.949,0.008,1.02,132.4,0.011,0.074,0.125,1.0,0.0,1.0,1.0,0.0,2.0,29887.5,1493.22,24.851,24.845,0.014,1.23,74.9,0.005,0.113,0.104,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3963.7,2938.24,1.09,158.6,0.004,0.032,140.0,0.08,1.0,52652.5,2843.23,25.441,25.858,0.011,1.15,103.2,0.001,0.041,0.074,1.0,0.0,1.0,1.0,0.0,0.0,60265.5,1505.51,24.091,24.081,0.009,1.01,120.5,0.008,0.022,0.086,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3659.44,2077.79,1.37,151.5,0.017,0.107,65.0,0.064,1.0,81133.5,3036.96,24.96,24.989,0.008,1.43,131.1,0.013,0.064,0.052,1.0,0.0,1.0,1.0,0.0,2.0,30913.1,1602.7,24.804,24.797,0.014,1.26,75.8,0.024,0.174,0.083,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3740.3,1429.69,1.2,141.4,0.007,0.037,95.0,0.115,1.0,78165.2,3020.5,24.999,25.052,0.01,1.3,111.6,0.007,0.035,0.1,1.0,0.0,1.0,1.0,0.0,0.0,32661.2,1614.01,24.745,24.739,0.014,1.04,75.7,0.008,0.028,0.122,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,4145.72,3028.1,1.14,147.5,-0.006,0.036,45.0,0.058,1.0,76579.7,2780.55,25.036,25.1,0.009,1.03,115.2,-0.009,0.03,0.046,1.0,0.0,1.0,1.0,0.0,0.0,34129.2,1472.57,24.707,24.701,0.013,1.25,81.9,-0.005,0.04,0.068,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3835.13,1618.99,1.23,151.1,-0.014,0.05,80.0,0.109,1.0,77888.6,2940.28,25.005,25.016,0.008,1.18,133.8,-0.011,0.041,0.091,1.0,0.0,1.0,1.0,0.0,0.0,27537.1,1557.72,24.93,24.924,0.016,1.3,70.0,-0.02,0.068,0.14,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3697.84,2209.67,1.35,103.0,-0.015,0.103,90.0,0.028,1.0,42108.9,3039.33,25.664,26.125,0.02,1.24,55.0,-0.022,0.065,0.038,1.0,0.0,1.0,1.0,0.0,2.0,57442.3,1627.56,24.132,24.122,0.012,1.43,87.0,-0.01,0.13,0.021,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3679.18,2318.19,1.45,153.2,0.021,0.29,135.0,0.237,1.0,54360.6,2261.06,25.405,25.777,0.01,1.4,105.2,0.021,0.358,0.275,1.0,0.0,1.0,1.0,0.0,0.0,53472.7,1249.22,24.219,24.21,0.01,1.51,111.4,0.021,0.209,0.196,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3437.0,2083.88,1.91,150.7,-0.037,0.292,85.0,0.235,1.0,66411.5,2842.46,25.177,25.391,0.009,1.88,117.4,-0.039,0.353,0.27,1.0,0.0,1.0,1.0,0.0,0.0,41813.4,1520.82,24.476,24.469,0.012,1.92,94.1,-0.033,0.214,0.19,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3776.7,1921.0,1.48,143.5,0.025,0.269,70.0,0.168,1.0,38322.0,2824.81,25.773,26.269,0.014,1.66,79.0,0.042,0.379,0.224,1.0,0.0,1.0,1.0,0.0,0.0,59976.1,1492.32,24.086,24.075,0.009,1.3,119.7,0.011,0.168,0.117,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3830.96,1605.87,1.21,141.5,0.005,0.037,45.0,0.155,1.0,33759.1,2956.82,25.911,26.44,0.015,1.28,72.3,0.008,0.127,0.215,1.0,0.0,1.0,1.0,0.0,0.0,61410.4,1565.61,24.06,24.05,0.009,1.16,121.6,0.002,-0.038,0.105,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3760.13,2336.4,1.35,143.7,-0.023,0.062,60.0,0.142,1.0,67912.2,2528.24,25.164,25.287,0.009,1.38,119.1,-0.026,0.036,0.125,1.0,0.0,1.0,1.0,0.0,2.0,34443.9,1352.4,24.696,24.689,0.014,1.31,80.1,-0.019,0.099,0.164,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,4086.83,1942.01,1.64,130.0,0.042,0.444,70.0,0.219,1.0,43412.3,2713.97,25.638,26.066,0.016,1.8,68.8,0.083,0.756,0.324,1.0,0.0,1.0,1.0,0.0,2.0,51740.9,1436.88,24.246,24.236,0.01,1.49,108.4,0.008,0.199,0.129,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,2971.74,922.9,1.31,141.8,-0.002,0.045,70.0,0.058,1.0,67562.5,3157.99,25.16,25.216,0.009,1.42,121.7,0.002,0.054,0.057,1.0,0.0,1.0,1.0,0.0,0.0,28440.7,1687.3,24.896,24.89,0.015,1.14,72.6,-0.007,0.029,0.06,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3845.22,1383.13,1.2,128.6,0.02,0.102,10.0,0.102,1.0,44128.2,2922.96,25.619,26.041,0.014,1.23,77.9,0.022,0.079,0.109,1.0,0.0,1.0,1.0,0.0,0.0,51547.0,1540.69,24.251,24.242,0.012,1.15,89.1,0.018,0.117,0.082,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3758.66,2015.86,1.34,133.4,-0.018,0.139,95.0,0.063,1.0,50992.8,2986.84,25.465,25.794,0.012,1.42,89.6,-0.019,0.222,0.083,1.0,0.0,1.0,1.0,0.0,2.0,43851.7,1579.26,24.425,24.416,0.011,1.27,98.6,-0.017,0.061,0.044,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3260.84,2207.98,1.96,114.0,-0.02,0.208,115.0,0.132,1.0,41047.1,2827.79,25.701,26.136,0.015,2.21,74.4,-0.041,0.279,0.138,1.0,0.0,1.0,1.0,0.0,0.0,50244.6,1463.49,24.281,24.271,0.013,1.6,85.9,0.005,0.122,0.124,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,3650.18,1464.29,1.52,135.9,-0.007,0.166,115.0,0.095,1.0,43978.5,3127.64,25.625,26.026,0.012,1.69,89.0,-0.01,0.266,0.103,1.0,0.0,1.0,1.0,0.0,0.0,47630.9,1654.72,24.336,24.327,0.011,1.32,102.6,-0.003,0.057,0.088,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3673.84,1330.8,1.11,132.9,-0.005,0.103,135.0,0.121,1.0,45379.8,3088.81,25.591,25.973,0.012,1.08,90.1,-0.001,0.154,0.129,1.0,0.0,1.0,1.0,0.0,0.0,46091.9,1631.32,24.372,24.363,0.011,1.15,97.7,-0.01,0.045,0.113,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3562.3,1227.68,1.29,116.2,0.013,0.03,95.0,0.139,1.0,41923.1,2997.21,25.675,26.077,0.016,1.44,67.8,0.003,0.02,0.174,1.0,0.0,1.0,1.0,0.0,2.0,45561.9,1589.62,24.384,24.374,0.013,1.18,80.9,0.012,0.049,0.106,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,4008.32,1640.54,1.24,130.7,0.009,0.114,85.0,0.032,1.0,58318.9,3012.27,25.319,25.466,0.01,1.26,109.7,0.008,0.097,0.028,1.0,0.0,1.0,1.0,0.0,0.0,31307.9,1597.55,24.791,24.784,0.017,1.2,63.0,0.004,0.138,0.043,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3714.28,1399.5,1.41,117.6,-0.038,0.3,165.0,0.344,1.0,62845.0,3032.02,25.238,25.209,0.01,1.5,108.2,-0.034,0.268,0.294,1.0,0.0,1.0,1.0,0.0,0.0,17891.7,1618.55,25.398,25.392,0.024,1.22,45.9,-0.046,0.369,0.451,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3757.4,2060.91,1.34,127.7,0.003,0.074,90.0,0.113,1.0,66467.5,2970.97,25.176,25.174,0.01,1.35,112.9,0.011,0.108,0.121,1.0,0.0,1.0,1.0,0.0,2.0,22073.8,1589.53,25.169,25.163,0.018,1.33,59.7,-0.011,0.022,0.102,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3439.4,2103.23,1.31,120.5,0.013,0.061,110.0,0.167,1.0,33992.7,2812.23,25.901,26.365,0.018,1.29,58.9,0.012,0.037,0.229,1.0,0.0,1.0,1.0,0.0,2.0,46531.0,1498.85,24.36,24.35,0.011,1.25,101.8,0.012,0.059,0.113,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3630.66,2254.98,1.27,87.5,-0.011,0.136,105.0,0.312,1.0,48434.4,2271.59,25.529,25.862,0.016,1.28,67.6,-0.007,0.149,0.352,1.0,0.0,1.0,1.0,0.0,0.0,42178.8,1278.61,24.475,24.466,0.02,1.25,55.6,-0.017,0.115,0.241,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3626.34,2080.87,1.12,127.0,-0.006,0.075,135.0,0.113,1.0,63003.7,3009.92,25.234,25.22,0.009,1.18,114.9,-0.006,0.062,0.094,1.0,0.0,1.0,1.0,0.0,0.0,19594.1,1600.41,25.297,25.292,0.02,1.0,54.0,-0.007,0.098,0.15,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3856.28,2173.02,1.49,96.1,-0.021,0.131,115.0,0.046,1.0,61630.0,2930.85,25.253,25.303,0.013,1.63,81.1,-0.022,0.149,0.055,1.0,0.0,1.0,1.0,0.0,0.0,25526.9,1576.56,25.012,25.005,0.021,1.28,51.4,-0.021,0.104,0.034,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3732.99,1244.73,1.23,122.9,-0.008,0.151,60.0,0.124,1.0,63132.3,3045.15,25.232,25.227,0.01,1.26,109.9,0.005,0.19,0.127,1.0,0.0,1.0,1.0,0.0,2.0,20707.1,1621.89,25.24,25.234,0.02,1.18,55.2,-0.03,0.082,0.118,1.0,0.0,1.0,1.0,0.0,2.0
