e,c,x,y,Chi,SN,Sharp,Round,MA,Crowd,T,Counts,Bkgrd,inst_vega_mag1,m_V,mag1_err,Chi.1,SN.1,Sharp.1,Round.1,Crowd.1,FWHM,Ellip,PSFa,PSFb,PSFc,Eflag,Counts.1,Bkgrd.1,inst_vega_mag2,m_I,mag2_err,Chi.2,SN.2,Sharp.2,Round.2,Crowd.2,FWHM.1,Ellip.1,PSFa.1,PSFb.1,PSFc.1,Eflag.1
0.0,1.0,67.31,258.61,1.22,205.2,-0.001,0.052,150.0,0.026,1.0,78806.0,2713.45,24.993,25.394,0.008,1.18,136.3,-0.002,0.058,0.017,1.0,0.0,1.0,1.0,0.0,0.0,85356.2,1476.21,23.704,23.695,0.007,1.26,153.3,-0.0,0.044,0.036,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1410.82,3986.2,1.04,195.1,0.004,0.006,85.0,0.006,1.0,76592.5,2569.55,25.035,25.424,0.008,1.09,131.2,0.012,0.012,0.004,1.0,0.0,1.0,1.0,0.0,0.0,79342.1,1372.73,23.794,23.784,0.008,0.98,144.3,-0.005,-0.001,0.008,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,4088.23,768.56,1.15,167.0,-0.003,0.018,95.0,0.046,1.0,59372.6,2950.5,25.299,25.709,0.011,1.17,97.3,-0.002,0.0,0.037,1.0,0.0,1.0,1.0,0.0,0.0,66561.6,1593.12,23.974,23.965,0.008,1.03,128.9,-0.003,0.016,0.049,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,969.56,731.66,1.31,167.7,-0.033,0.02,115.0,0.122,1.0,85412.2,2765.71,24.906,24.979,0.007,1.3,144.8,-0.025,0.008,0.1,1.0,0.0,1.0,1.0,0.0,0.0,39137.7,1471.65,24.55,24.543,0.013,1.31,84.3,-0.046,0.042,0.159,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,1286.98,546.89,2.48,155.7,-0.098,0.333,175.0,0.435,1.0,39819.3,2690.46,25.734,26.292,0.013,1.92,81.4,-0.05,0.495,0.453,1.0,0.0,1.0,1.0,0.0,0.0,84519.4,1439.58,23.715,23.704,0.008,2.97,132.3,-0.149,0.16,0.412,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,1201.24,3626.64,1.06,169.5,0.015,0.028,15.0,0.012,1.0,55921.5,2579.82,25.377,25.798,0.01,1.12,108.7,0.021,0.029,0.008,1.0,0.0,1.0,1.0,0.0,0.0,64927.9,1385.74,24.011,24.001,0.008,0.99,130.1,0.008,0.027,0.015,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,2512.76,2228.69,1.22,97.7,0.021,0.024,95.0,0.064,1.0,20981.8,2837.84,26.435,27.086,0.029,1.36,36.8,0.035,0.081,0.105,1.0,0.0,1.0,1.0,0.0,0.0,87258.2,1447.89,23.687,23.674,0.012,1.09,90.4,0.008,-0.027,0.027,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,2295.88,2259.81,1.6,143.8,-0.06,0.087,100.0,0.488,1.0,68227.1,2664.86,25.159,25.416,0.01,1.65,110.3,-0.057,0.062,0.533,1.0,0.0,1.0,1.0,0.0,0.0,47944.6,1397.93,24.338,24.329,0.012,1.55,91.4,-0.065,0.122,0.433,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3468.17,3910.44,1.01,161.9,0.003,0.013,160.0,0.024,1.0,44910.6,2692.51,25.615,26.108,0.012,1.0,93.2,0.004,0.015,0.02,1.0,0.0,1.0,1.0,0.0,0.0,69265.1,1434.51,23.941,23.931,0.008,1.03,132.4,0.002,0.01,0.029,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,3269.7,2778.25,1.1,162.2,-0.004,0.072,30.0,0.039,1.0,82732.2,2775.5,24.951,24.973,0.008,1.05,143.3,-0.003,0.022,0.032,1.0,0.0,1.0,1.0,0.0,0.0,30721.8,1480.68,24.821,24.815,0.014,1.18,75.9,-0.007,0.159,0.052,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,464.55,1258.7,2.36,131.0,-0.099,0.971,45.0,0.745,1.0,55908.5,2662.46,25.365,25.736,0.012,1.93,91.6,-0.061,1.07,0.715,1.0,0.0,1.0,1.0,0.0,0.0,54847.1,1418.88,24.183,24.174,0.012,2.81,93.6,-0.145,0.845,0.783,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,372.33,1455.96,1.45,134.8,0.013,0.865,45.0,0.055,1.0,48530.6,2541.18,25.514,25.932,0.018,1.28,61.4,0.009,0.944,0.062,1.0,0.0,1.0,1.0,0.0,2.0,56105.8,1390.78,24.158,24.149,0.01,1.48,110.6,0.017,0.82,0.046,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,324.82,2220.75,1.26,147.1,0.005,0.032,95.0,0.055,1.0,52073.8,2557.75,25.452,25.847,0.011,1.26,102.3,0.014,0.029,0.068,1.0,0.0,1.0,1.0,0.0,0.0,55176.0,1365.39,24.186,24.176,0.01,1.25,105.7,-0.008,0.037,0.039,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,2055.54,781.88,1.71,132.4,-0.071,0.032,125.0,0.33,1.0,63856.7,2905.03,25.222,25.413,0.01,1.76,104.8,-0.068,0.025,0.323,1.0,0.0,1.0,1.0,0.0,2.0,38025.8,1551.54,24.582,24.574,0.014,1.66,79.9,-0.074,0.042,0.345,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,2561.72,1485.13,1.22,133.3,-0.008,0.084,55.0,0.05,1.0,40522.5,2925.0,25.713,26.207,0.015,1.17,73.9,-0.007,0.156,0.034,1.0,0.0,1.0,1.0,0.0,0.0,62786.1,1547.37,24.035,24.025,0.011,1.27,99.7,-0.009,0.011,0.042,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1579.34,3696.31,1.96,129.0,-0.066,0.099,165.0,0.536,1.0,31430.5,2590.2,26.002,26.557,0.016,1.38,66.0,-0.054,0.1,0.481,1.0,0.0,1.0,1.0,0.0,0.0,65486.4,1393.24,24.002,23.991,0.01,2.4,110.5,-0.078,0.099,0.596,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1491.89,3301.72,1.12,149.2,0.012,0.025,30.0,0.021,1.0,73308.5,2646.61,25.082,25.096,0.008,1.11,132.1,0.007,0.027,0.015,1.0,0.0,1.0,1.0,0.0,0.0,26237.4,1432.66,24.993,24.987,0.016,1.15,69.2,0.021,0.021,0.031,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,793.2,3800.53,1.25,147.7,0.014,0.073,105.0,0.056,1.0,54926.9,2493.56,25.397,25.729,0.01,1.24,106.7,0.024,0.105,0.066,1.0,0.0,1.0,1.0,0.0,0.0,47666.4,1346.53,24.347,24.338,0.011,1.26,102.1,-0.0,0.031,0.043,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,621.48,1807.36,1.38,134.6,-0.033,0.055,55.0,0.394,1.0,67968.2,2555.69,25.152,25.235,0.009,1.43,114.3,-0.026,0.076,0.366,1.0,0.0,1.0,1.0,0.0,0.0,31708.0,1361.47,24.776,24.769,0.015,1.3,70.8,-0.044,0.018,0.441,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,2094.13,3032.9,1.2,142.7,0.004,0.055,65.0,0.055,1.0,46696.6,2678.56,25.571,25.96,0.011,1.26,95.7,0.002,0.092,0.052,1.0,0.0,1.0,1.0,0.0,0.0,48562.0,1435.12,24.325,24.316,0.01,1.12,105.8,0.007,0.014,0.059,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,2116.15,2683.05,1.51,13.1,0.008,1.377,90.0,0.948,1.0,2886.9,2577.93,28.581,28.894,0.121,1.41,9.0,0.121,1.127,1.066,1.0,0.0,1.0,1.0,0.0,0.0,2361.0,1380.06,27.594,27.585,0.117,1.62,9.3,-0.108,1.625,0.904,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1641.62,1145.89,1.4,121.0,-0.035,0.048,140.0,0.335,1.0,57080.7,2804.94,25.342,25.506,0.011,1.31,97.2,-0.028,-0.004,0.311,1.0,0.0,1.0,1.0,0.0,2.0,31851.9,1495.21,24.773,24.765,0.015,1.51,71.1,-0.045,0.121,0.382,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,1210.03,2253.09,1.85,125.3,-0.064,0.126,115.0,0.379,1.0,49556.6,2199.71,25.505,25.811,0.012,1.87,89.8,-0.065,0.114,0.406,1.0,0.0,1.0,1.0,0.0,0.0,39801.1,1224.4,24.539,24.531,0.012,1.83,87.2,-0.064,0.138,0.348,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,521.44,2710.26,1.23,130.3,0.008,0.055,70.0,0.06,1.0,42243.0,2490.37,25.679,26.052,0.012,1.32,88.4,0.01,0.056,0.065,1.0,0.0,1.0,1.0,0.0,0.0,41569.8,1327.14,24.493,24.484,0.011,1.12,95.6,0.007,0.053,0.054,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,353.11,3341.99,1.14,122.0,0.013,0.014,50.0,0.01,1.0,35257.9,2529.6,25.876,26.304,0.015,1.16,74.1,0.027,0.006,0.012,1.0,0.0,1.0,1.0,0.0,2.0,42010.0,1346.17,24.483,24.473,0.011,1.12,96.9,-0.001,0.022,0.008,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1539.93,1537.0,2.22,114.3,-0.088,0.182,140.0,0.507,1.0,53493.7,2585.77,25.412,25.52,0.011,2.24,94.9,-0.078,0.242,0.491,1.0,0.0,1.0,1.0,0.0,0.0,26342.5,1381.54,24.978,24.971,0.017,2.17,63.6,-0.102,0.093,0.532,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1105.35,1590.89,1.45,104.6,-0.038,0.091,110.0,0.542,1.0,51665.7,2711.74,25.449,25.513,0.012,1.55,87.7,-0.029,0.085,0.554,1.0,0.0,1.0,1.0,0.0,2.0,23083.0,1445.3,25.121,25.114,0.019,1.34,56.3,-0.051,0.1,0.54,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,642.0,1091.7,2.12,111.4,-0.091,0.282,160.0,0.256,1.0,50922.4,2687.73,25.468,25.533,0.011,2.21,95.1,-0.09,0.244,0.231,1.0,0.0,1.0,1.0,0.0,2.0,22109.4,1449.55,25.169,25.162,0.019,1.98,57.7,-0.093,0.343,0.298,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,777.25,1208.06,1.25,15.0,-0.28,2.937,15.0,0.048,1.0,3089.4,2668.83,28.498,28.83,0.107,1.22,10.1,-0.346,0.417,0.022,1.0,0.0,1.0,1.0,0.0,0.0,2683.9,1427.78,27.45,27.441,0.101,1.28,10.7,-0.211,5.54,0.075,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1726.85,3664.11,1.05,103.9,0.01,0.089,85.0,0.073,1.0,11813.8,2626.95,27.064,27.701,0.033,1.07,33.2,0.02,0.273,0.096,1.0,0.0,1.0,1.0,0.0,0.0,43201.8,1424.59,24.453,24.44,0.011,1.03,98.4,0.005,-0.014,0.061,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,818.15,2222.18,1.98,95.7,-0.12,0.737,0.0,0.602,1.0,32144.5,2255.31,25.975,26.374,0.016,1.77,66.3,-0.085,0.815,0.588,1.0,0.0,1.0,1.0,0.0,0.0,34666.2,1165.63,24.689,24.68,0.019,2.25,58.3,-0.168,0.724,0.608,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,576.46,3470.13,1.11,89.5,-0.019,0.027,35.0,0.011,1.0,8279.2,2517.81,27.447,28.108,0.051,1.17,21.1,-0.004,0.121,0.022,1.0,0.0,1.0,1.0,0.0,2.0,38464.9,1342.12,24.579,24.566,0.013,1.09,86.8,-0.025,-0.008,0.008,1.0,0.0,1.0,1.0,0.0,2.0
0.0,1.0,2103.05,2485.9,1.15,107.7,-0.013,0.142,150.0,0.188,1.0,32748.6,2520.14,25.955,26.345,0.016,1.18,69.4,-0.031,0.139,0.225,1.0,0.0,1.0,1.0,0.0,2.0,34119.4,1361.44,24.707,24.697,0.013,1.13,82.2,0.004,0.143,0.153,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,594.08,3571.99,2.13,109.8,-0.065,0.208,145.0,0.268,1.0,43983.0,2494.61,25.637,25.78,0.012,2.18,90.1,-0.053,0.146,0.258,1.0,0.0,1.0,1.0,0.0,0.0,23393.1,1337.21,25.119,25.111,0.017,2.06,62.7,-0.083,0.297,0.285,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,568.43,2064.02,1.53,78.3,-0.085,0.137,15.0,0.347,1.0,45027.1,2575.72,25.593,25.699,0.017,1.53,62.3,-0.075,0.111,0.34,1.0,0.0,1.0,1.0,0.0,0.0,22206.5,1364.5,25.162,25.155,0.023,1.54,47.4,-0.097,0.168,0.357,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,2222.87,3924.71,1.65,90.2,-0.09,0.09,45.0,0.603,1.0,40713.4,2646.75,25.722,25.771,0.014,1.66,78.0,-0.075,0.103,0.6,1.0,0.0,1.0,1.0,0.0,0.0,16733.4,1408.73,25.483,25.476,0.024,1.63,45.3,-0.114,0.068,0.607,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1124.32,756.72,1.82,96.6,-0.026,0.584,80.0,0.392,1.0,40360.2,2737.26,25.719,25.784,0.013,1.91,83.0,-0.022,0.577,0.36,1.0,0.0,1.0,1.0,0.0,0.0,17494.4,1463.26,25.424,25.417,0.022,1.66,49.0,-0.032,0.596,0.451,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,2863.75,4110.52,2.23,101.3,-0.082,0.479,15.0,0.349,1.0,38439.7,2641.56,25.784,25.964,0.013,2.27,80.9,-0.044,0.549,0.349,1.0,0.0,1.0,1.0,0.0,0.0,22252.6,1398.56,25.174,25.166,0.018,2.16,60.8,-0.134,0.385,0.352,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1113.68,749.96,2.46,97.2,-0.029,1.27,5.0,0.335,1.0,40400.5,2711.7,25.718,25.771,0.013,2.61,84.3,-0.02,1.315,0.313,1.0,0.0,1.0,1.0,0.0,0.0,16830.9,1443.34,25.466,25.459,0.022,2.17,48.4,-0.045,1.198,0.373,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,1277.07,2460.44,1.44,75.0,-0.004,0.155,155.0,0.651,1.0,5638.1,2056.06,27.856,28.532,0.066,1.24,16.3,0.053,0.283,1.279,1.0,0.0,1.0,1.0,0.0,0.0,32506.9,1173.94,24.759,24.746,0.015,1.51,73.1,-0.026,0.107,0.422,1.0,0.0,1.0,1.0,0.0,0.0
