galaxy,gal_ra,gal_dec,eddtip,EBV,A555/606,A814,field,fd_ra,fd_dec,filter,inc,pos_ang,dist2nuc,int_ext,red_lim,faint_lim,slope_bc,inter_bc,slope_ac,inter_ac
NGC4258,184.7396,47.30397,25.43,0.0141,0.0378162,0.0209667,NGC4258-1,184.8291667,47.3333333,F555W,61.0,160.0,18.48763623849455,0.0126678329964179,0.6168494999999999,27.5,-2.099999999999999,29.000000000000057,-2.3999999999999995,29.600000000000065
NGC4258,184.7396,47.30397,25.43,0.0141,0.0322185,0.0209667,NGC4258-10,184.6073157,47.2086766,F606W,61.0,160.0,33.15894786321558,0.0077549333845903,0.3112517999999999,27.5,-5.100000000000007,29.700000000000067,-5.000000000000007,30.300000000000075
NGC4258,184.7396,47.30397,25.43,0.0141,0.0378162,0.0209667,NGC4258-2,184.672956,47.491544,F555W,61.0,160.0,26.273954241696767,0.0094293406540938,0.6168494999999999,27.5,-1.499999999999999,28.100000000000044,-1.5999999999999988,28.40000000000005
NGC4258,184.7396,47.30397,25.43,0.0141,0.0378162,0.0209667,NGC4258-3,184.84,47.45,F555W,61.0,160.0,34.809440448443915,0.0074448710398428,0.6168494999999999,27.5,-1.499999999999999,27.70000000000004,-1.5999999999999988,28.100000000000044
NGC4258,184.7396,47.30397,25.43,0.0141,0.0378162,0.0209667,NGC4258-4_G1,184.879161,47.353293,F555W,61.0,160.0,29.1592018756835,0.0086391529577349,0.6168494999999999,27.5,-1.6999999999999988,28.100000000000044,-1.9999999999999991,28.700000000000053
NGC4258,184.7396,47.30397,25.43,0.0141,0.0378162,0.0209667,NGC4258-4_G2,184.918385,47.32009,F555W,61.0,160.0,33.0534913558453,0.0077757113335681,0.6168494999999999,27.5,-1.6999999999999988,28.100000000000044,-1.799999999999999,28.300000000000047
NGC4258,184.7396,47.30397,25.43,0.0141,0.0322185,0.0209667,NGC4258-5,184.6405942,47.2485588,F606W,61.0,160.0,22.93214725609772,0.0105708309684659,0.3112517999999999,27.5,-5.000000000000007,29.500000000000064,-5.000000000000007,30.300000000000075
NGC4258,184.7396,47.30397,25.43,0.0141,0.0322185,0.0209667,NGC4258-6,184.9011597,47.2432783,F606W,61.0,160.0,25.9322454908549,0.0095336014054291,0.3112517999999999,27.5,-5.000000000000007,29.800000000000068,-5.000000000000007,30.200000000000074
NGC4258,184.7396,47.30397,25.43,0.0141,0.0322185,0.0209667,NGC4258-7,184.852268,47.3228289,F606W,61.0,160.0,21.559072428559176,0.0111335441237791,0.3112517999999999,27.5,-5.000000000000007,30.200000000000077,-5.000000000000007,30.60000000000008
NGC4258,184.7396,47.30397,25.43,0.0141,0.0322185,0.0209667,NGC4258-8,184.9777141,47.2372586,F606W,61.0,160.0,38.86882225695194,0.0067860574851852,0.3112517999999999,27.5,-5.100000000000007,29.600000000000065,-5.100000000000007,30.100000000000072
NGC4258,184.7396,47.30397,25.43,0.0141,0.0322185,0.0209667,NGC4258-9,184.9765325,47.3318479,F606W,61.0,160.0,44.32635891733843,0.0060769626265976,0.3112517999999999,27.5,-6.700000000000001,29.800000000000068,-5.000000000000007,29.700000000000067
NGC4424,186.79838,9.42067,27.05,0.018,0.04113,0.0267659999999999,NGC4424,186.8016554,9.4588787,F606W,65.0,100.0,25.52380879609002,0.0096615874545889,0.3143640000000001,27.900000000000123,-5.000000000000007,31.40000000000009,-5.000000000000007,32.0000000000001
NGC4526,188.51286,7.69952,27.03,0.0191,0.0436435,0.0284017,NGC4526,188.515689,7.7531432,F606W,65.0,113.0,33.81858595595714,0.007627673961692,0.3152418,27.900000000000123,-5.000000000000007,31.100000000000087,-5.000000000000007,31.700000000000095
NGC4536,188.61271,2.18814,27.03,0.0157,0.0358745,0.0233459,NGC4536,188.588121,2.1447889,F606W,59.0,95.0,25.579509610038823,0.0096439119094927,0.3125286,27.70000000000012,-5.100000000000007,30.900000000000084,-5.000000000000007,32.0000000000001
NGC5584,215.59903,-0.38767,,0.0337,0.0903834,0.0501119,NGC5584,215.5998908,-0.389765,F555W,53.0,30.0,1.6170878149124068,0.098072324007725,0.6402715,27.400000000000137,-3.0,30.50000000000008,-2.2999999999999994,31.600000000000094
NGC5643,218.16977,-44.17441,26.7,0.1451,0.3315535,0.2157637,NGC5643,218.1421105,-44.1149907,F606W,48.0,88.0,19.84419828542613,0.0119363214521925,0.4157898,27.800000000000125,-6.600000000000001,32.50000000000011,-5.500000000000005,32.60000000000011
NGC7814,0.81204,16.14542,26.81,0.0383,0.0875155,0.0569521,NGC7814,0.8139428,16.0714879,F606W,60.0,135.0,28.83413825952553,0.0087208905184889,0.3305634,27.500000000000117,-5.000000000000007,31.200000000000088,-5.000000000000007,31.700000000000095
