galaxy,gal_ra,gal_dec,field,fd_ra,fd_dec,TRGB,TRGB_err,R,R_err,R_pm1,N,EDR_value,percentage,FWHM,slope,tip_color,A555/606,A814,int_ext,inc,pos_ang,dist2nuc
NGC4258,184.7396,47.30397,NGC4258-2,184.672956,47.491544,25.377000000000386,0.21252360786402014,3.8175182481751824,0.2590758690510298,5.826603325415677,2453.0,0.1415365710810387,1.0,0.64,1.8373236816709697,2.1690366972477064,0.0378162,0.0209667,0.0,61.0,160.0,26.273954241696767
NGC4258,184.7396,47.30397,NGC4258-3,184.84,47.45,25.314000000000746,0.2744453511939369,3.7288135593220337,0.5466828182048882,7.0,567.0,0.07683736130956619,1.0,0.48,2.7304362562198135,1.719904761904762,0.0378162,0.0209667,0.0,61.0,160.0,34.809440448443915
NGC4258,184.7396,47.30397,NGC4258-4_G1,184.879161,47.353293,25.314000000000277,0.07256132654139089,4.793103448275862,0.4376027494251853,9.380952380952381,1773.0,0.13503344048228205,1.0,0.64,1.63232862579913,2.1415187969924814,0.0378162,0.0209667,0.0,61.0,160.0,29.1592018756835
NGC4258,184.7396,47.30397,NGC4258-4_G2,184.918385,47.32009,25.280000000000378,0.04684215428147342,5.4605263157894735,0.6813094393308378,10.383177570093459,1111.0,0.11707323557108354,1.0,0.55,2.2624364298292856,2.020098591549296,0.0378162,0.0209667,0.0,61.0,160.0,33.0534913558453
NGC4258,184.7396,47.30397,NGC4258-5,184.6405942,47.2485588,25.441000000000187,0.04555220962689836,5.457983193277311,0.3848363382980932,11.587412587412587,3314.0,0.18343801469431542,1.0,0.76,1.8934489441014961,1.7023821138211381,0.0322185,0.0209667,0.0,61.0,160.0,22.93214725609772
NGC4258,184.7396,47.30397,NGC4258-6,184.9011597,47.2432783,25.5720000000002,0.04000243717903682,8.04888888888889,0.5689503053267596,19.632231404958677,4751.0,0.23284301785430353,1.0,0.84,2.348663743511662,1.5560427631578948,0.0322185,0.0209667,0.0,61.0,160.0,25.9322454908549
NGC4258,184.7396,47.30397,NGC4258-7,184.852268,47.3228289,25.330000000000624,0.04138872019314204,5.916149068322981,0.35647066062288013,11.59447004608295,5032.0,0.23819473435467037,1.0,0.69,3.0367916106686423,1.6764805970149257,0.0322185,0.0209667,0.0,61.0,160.0,21.559072428559176
NGC4258,184.7396,47.30397,NGC4258-8,184.9777141,47.2372586,25.262000000000945,0.040072590041481886,7.076923076923077,1.4827179216354085,15.205882352941176,517.0,0.08372853633250113,1.0,0.54,3.3972728976365203,1.3458076923076923,0.0322185,0.0209667,0.0,61.0,160.0,38.86882225695194
NGC4258,184.7396,47.30397,NGC4258-9,184.9765325,47.3318479,25.290000000000703,0.040031608154438535,7.388888888888889,1.8556904660056166,12.962962962962964,350.0,0.07178286006870842,1.0,0.45,2.510458039675809,1.442473684210526,0.0322185,0.0209667,0.0,61.0,160.0,44.32635891733843
NGC4424,186.79838,9.42067,NGC4424,186.8016554,9.4588787,26.940000000000694,0.33817676629023774,3.2417279411764706,0.11242042931828392,5.604075691411936,7700.0,0.23027455267065702,1.0,0.96,1.8536638836196275,1.5956662621359226,0.04113,0.0267659999999999,0.0,65.0,100.0,25.52380879609002
NGC4526,188.51286,7.69952,NGC4526,188.515689,7.7531432,26.96900000000082,0.05131212046470585,5.093978102189781,0.16829596531528615,9.427853553481695,13133.0,0.37435204419493967,1.0,0.7,2.2776133492618693,1.4857914338919926,0.0436435,0.0284017,0.0,65.0,113.0,33.81858595595714
NGC4536,188.61271,2.18814,NGC4536,188.588121,2.1447889,26.118000000001153,0.19543350852788338,3.963855421686747,0.4868883895970035,9.909090909090908,1090.0,0.08586599857164227,1.0,0.62,3.74416720221298,1.6767499999999995,0.0358745,0.0233459,0.0,59.0,95.0,25.579509610038823
NGC4536,188.61271,2.18814,NGC4536,188.588121,2.1447889,27.018000000001294,0.5271891351172542,2.7565359477124183,0.1300768147789777,3.8065610859728505,3365.0,0.14856301682257225,1.7301728192052497,0.66,1.839783139314924,1.4123245192307694,0.0358745,0.0233459,0.0,59.0,95.0,25.579509610038823
NGC5584,215.59903,-0.38767,NGC5584,215.5998908,-0.389765,25.917000000000307,0.8150251372109355,2.5652173913043477,0.6305814313498652,6.138888888888889,221.0,0.038709537124465565,1.5455497113792702,0.33,-6.096220757839068,2.094933333333334,0.0903834,0.0501119,0.0,53.0,30.0,1.6170878149124068
NGC5584,215.59903,-0.38767,NGC5584,215.5998908,-0.389765,26.447000000000394,0.5847144575453052,2.896551724137931,0.44113028052055553,6.690476190476191,562.0,0.04892768776874286,1.9535282343027915,0.34,15.581302437075509,2.1991190476190474,0.0903834,0.0501119,0.0,53.0,30.0,1.6170878149124068
NGC5584,215.59903,-0.38767,NGC5584,215.5998908,-0.389765,26.917000000000463,0.7571767897505379,2.3333333333333335,0.21911406604072653,3.760180995475113,831.0,0.05835402801689671,2.3298922658088417,0.71,2.6955566944242206,2.258969387755102,0.0903834,0.0501119,0.0,53.0,30.0,1.6170878149124068
NGC5643,218.16977,-44.17441,NGC5643,218.1421105,-44.1149907,25.491000000001023,0.5046330103610395,3.1470588235294117,0.61955956990059,5.647887323943662,401.0,0.048222353508401074,1.0,0.34,27.600050181909577,1.7140499999999999,0.3315535,0.2157637,0.0,48.0,88.0,19.84419828542613
NGC5643,218.16977,-44.17441,NGC5643,218.1421105,-44.1149907,26.05100000000111,0.5268379330699663,2.9210526315789473,0.3169703222041242,8.287671232876713,1210.0,0.06786612477179167,1.4073582028709641,0.65,3.081237896971205,1.7642441860465115,0.3315535,0.2157637,0.0,48.0,88.0,19.84419828542613
NGC5643,218.16977,-44.17441,NGC5643,218.1421105,-44.1149907,26.75100000000122,0.5025662637740935,2.859688195991091,0.15678780557924796,4.458135860979463,2822.0,0.134812910022803,2.7956518132056023,0.62,3.293632576506351,1.4989712460063898,0.3315535,0.2157637,0.0,48.0,88.0,19.84419828542613
NGC7814,0.81204,16.14542,NGC7814,0.8139428,16.0714879,26.803000000001212,0.057491524288384256,4.945611866501854,0.19064878042907188,8.79333986287953,8978.0,0.32509466591857106,1.0,0.62,2.7066660988316036,1.4335283505154637,0.0875155,0.0569521,0.0,60.0,135.0,28.83413825952553
